id,name,current_category,town,website,reasoning
485,Account Suspended,Professional Services,Unknown,http://circuitstylesalon.com/,JUNK RECORD: matches /^account\s+suspended$/
387,Instagram Icon,Other,Edgartown,http://edgartowncommons.com/,JUNK RECORD: matches /^instagram\s+icon$/
542,Johnkeene,Other,Vineyard Haven,http://johnkeene.com/,JUNK RECORD: matches /^johnkeene$/
403,Kkon,Other,Oak Bluffs,http://kkonmv.com/,JUNK RECORD: matches /^kkon$/
563,Martha,Other,West Tisbury,http://mvbank.com/,JUNK RECORD: matches /^martha$/
514,Mass.gov/locations/dukes-county-superior-court,Other,Edgartown,http://mass.gov/locations/dukes-county-superior-court,JUNK RECORD: matches /^mass\.gov/
489,Secure.myvanco.com/ygss/campaign/c-yjgr,Other,Unknown,https://secure.myvanco.com/YGSS/campaign/C-YJGR,JUNK RECORD: matches /^secure\./
642,Trust,Other,Vineyard Haven,https://www.tanyarust.com/,JUNK RECORD: matches /^trust$/
